,year,CountyName,Category,Tot_ED_NmbVsts,EDStations,Visits_Per_Station
48,2022,Los Angeles,Active COVID-19,12830,17,25.64706
49,2022,Los Angeles,Active COVID-19,57917,35,40.31429
50,2022,Los Angeles,Active COVID-19,35849,50,14.24
51,2022,Los Angeles,Active COVID-19,68844,46,37.30435
52,2022,Los Angeles,Active COVID-19,31164,14,27.71429
53,2022,Los Angeles,Active COVID-19,3857,4,17.75
54,2022,Los Angeles,Active COVID-19,21304,12,66.66667
55,2022,Los Angeles,Active COVID-19,34069,14,76.92857
56,2022,Los Angeles,Active COVID-19,48690,26,59.88462
57,2022,Los Angeles,Active COVID-19,10400,8,31.375
58,2022,Los Angeles,Active COVID-19,6940,9,20.33333
59,2022,Los Angeles,Active COVID-19,15968,21,29.95238
60,2022,Los Angeles,Active COVID-19,37767,39,57.64103
61,2022,Los Angeles,Active COVID-19,82929,32,92.375
62,2022,Los Angeles,Active COVID-19,71601,29,123.62069
63,2022,Los Angeles,Active COVID-19,55882,57,61
64,2022,Los Angeles,Active COVID-19,59992,52,66.67308
65,2022,Los Angeles,Active COVID-19,62888,41,103.60976
66,2022,Los Angeles,Active COVID-19,80860,53,82.73585
67,2022,Los Angeles,Active COVID-19,40497,29,74.31034
68,2022,Los Angeles,Active COVID-19,32685,18,72.94444
69,2022,Los Angeles,Active COVID-19,40962,15,135.6
70,2022,Los Angeles,Active COVID-19,29497,10,38.9
71,2022,Los Angeles,Active COVID-19,72326,64,67.875
72,2022,Los Angeles,Active COVID-19,35962,26,63
73,2022,Los Angeles,Active COVID-19,16386,6,78.5
74,2022,Los Angeles,Active COVID-19,54587,60,38.38333
75,2022,Los Angeles,Active COVID-19,47234,37,58.75676
76,2022,Los Angeles,Active COVID-19,5026,4,40.75
77,2022,Los Angeles,Active COVID-19,6654,7,24.85714
78,2022,Los Angeles,Active COVID-19,78066,72,66.31944
79,2022,Los Angeles,Active COVID-19,58298,61,39.70492
80,2022,Los Angeles,Active COVID-19,12256,8,52.125
81,2022,Los Angeles,Active COVID-19,33407,16,104.625
82,2022,Los Angeles,Active COVID-19,33209,21,65.7619
83,2022,Los Angeles,Active COVID-19,6908,7,26.57143
84,2022,Los Angeles,Active COVID-19,18208,12,35.25
85,2022,Los Angeles,Active COVID-19,48363,42,37.92857
86,2022,Los Angeles,Active COVID-19,24761,27,37.11111
87,2022,Los Angeles,Active COVID-19,50489,48,49.47917
88,2022,Los Angeles,Active COVID-19,9366,8,17.25
89,2022,Los Angeles,Active COVID-19,44727,30,49.7
90,2022,Los Angeles,Active COVID-19,22041,13,97.30769
91,2022,Los Angeles,Active COVID-19,46662,30,30.46667
92,2022,Los Angeles,Active COVID-19,52148,28,57.39286
93,2022,Los Angeles,Active COVID-19,22499,12,63.33333
94,2022,Los Angeles,Active COVID-19,54067,30,79.33333
95,2022,Los Angeles,Active COVID-19,77616,73,29.90411
96,2022,Los Angeles,Active COVID-19,104935,106,17.41509
97,2022,Los Angeles,Active COVID-19,99493,29,146.13793
98,2022,Los Angeles,Active COVID-19,47977,51,21.80392
99,2022,Los Angeles,Active COVID-19,40713,36,74.27778
100,2022,Los Angeles,Active COVID-19,70040,30,119.7
101,2022,Los Angeles,Active COVID-19,91278,80,65.7875
102,2022,Los Angeles,Active COVID-19,62297,35,38.65714
103,2022,Madera,Active COVID-19,77730,38,115.05263
104,2022,Marin,Active COVID-19,28282,21,39.09524
105,2022,Marin,Active COVID-19,29682,31,33.54839
106,2022,Marin,Active COVID-19,14709,9,71.44444
107,2022,Mariposa,Active COVID-19,6498,4,80.5
108,2022,Mendocino,Active COVID-19,8963,6,54.16667
109,2022,Mendocino,Active COVID-19,29738,19,69.73684
110,2022,Mendocino,Active COVID-19,14061,9,49.77778
111,2022,Merced,Active COVID-19,26483,10,122.2
112,2022,Merced,Active COVID-19,57645,26,58.96154
113,2022,Modoc,Active COVID-19,511,1,37
114,2022,Monterey,Active COVID-19,42759,31,70
115,2022,Monterey,Active COVID-19,15447,6,123.16667
116,2022,Monterey,Active COVID-19,54157,16,158
117,2022,Monterey,Active COVID-19,49779,19,127.26316
118,2022,Napa,Active COVID-19,24941,18,50.66667
119,2022,Napa,Active COVID-19,6503,8,28.625
120,2022,Nevada,Active COVID-19,13700,15,28
121,2022,Orange,Active COVID-19,100831,35,127.08571
122,2022,Orange,Active COVID-19,29010,26,76.30769
123,2022,Orange,Active COVID-19,23505,30,26.26667
124,2022,Orange,Active COVID-19,5063,8,17.875
125,2022,Orange,Active COVID-19,12153,11,21.90909
126,2022,Orange,Active COVID-19,102917,88,74.20455
127,2022,Orange,Active COVID-19,12317,12,25
128,2022,Orange,Active COVID-19,12636,10,37.1
129,2022,Orange,Active COVID-19,26727,23,50.3913
130,2022,Orange,Active COVID-19,11411,10,16.2
131,2022,Orange,Active COVID-19,35655,46,42.26087
132,2022,Orange,Active COVID-19,42673,44,41.95455
133,2022,Orange,Active COVID-19,19807,12,40.66667
134,2022,Orange,Active COVID-19,27453,31,57.67742
135,2022,Orange,Active COVID-19,14981,20,40.8
136,2022,Orange,Active COVID-19,54818,36,87.83333
137,2022,Orange,Active COVID-19,4326,8,24.375
138,2022,Orange,Active COVID-19,25258,24,36.75
139,2022,Orange,Active COVID-19,18818,19,18
140,2022,Orange,Active COVID-19,112366,72,98.05556
141,2022,Placer,Active COVID-19,26503,14,105.5
142,2022,Placer,Active COVID-19,74403,69,66.82609
143,2022,Placer,Active COVID-19,125419,61,94.37705
144,2022,Plumas,Active COVID-19,3461,3,41.66667
145,2022,Plumas,Active COVID-19,2710,2,48
146,2022,Riverside,Active COVID-19,47050,30,52
147,2022,Riverside,Active COVID-19,54944,29,47.41379
148,2022,Riverside,Active COVID-19,39022,29,22.48276
149,2022,Riverside,Active COVID-19,48677,12,56.75
150,2022,Riverside,Active COVID-19,8076,7,29
151,2022,Riverside,Active COVID-19,49275,41,47.02439
152,2022,Riverside,Active COVID-19,38597,28,55.5
153,2022,Riverside,Active COVID-19,15525,12,36.83333
154,2022,Riverside,Active COVID-19,54533,41,75.53659
155,2022,Riverside,Active COVID-19,50769,26,121.96154
156,2022,Riverside,Active COVID-19,94786,53,62.92453
157,2022,Riverside,Active COVID-19,35415,21,52.95238
158,2022,Riverside,Active COVID-19,47789,80,29.925
159,2022,Sacramento,Active COVID-19,100947,59,76.33898
160,2022,Sacramento,Active COVID-19,65202,66,48.66667
161,2022,Sacramento,Active COVID-19,85084,50,95.18
162,2022,Sacramento,Active COVID-19,109964,53,60.77358
163,2022,San Benito,Active COVID-19,21491,18,86.61111
164,2022,San Bernardino,Active COVID-19,11640,7,71.28571
165,2022,San Bernardino,Active COVID-19,34420,15,83.86667
166,2022,San Bernardino,Active COVID-19,23393,12,46.83333
167,2022,San Bernardino,Active COVID-19,141171,92,80.75
168,2022,San Bernardino,Active COVID-19,40403,40,42.625
169,2022,San Bernardino,Active COVID-19,8625,6,80.33333
170,2022,San Bernardino,Active COVID-19,77789,52,45.75
171,2022,San Bernardino,Active COVID-19,54577,18,108.72222
172,2022,San Bernardino,Active COVID-19,65213,43,69.4186
173,2022,San Bernardino,Active COVID-19,29888,16,34.0625
174,2022,San Bernardino,Active COVID-19,23888,16,40.6875
175,2022,San Bernardino,Active COVID-19,36593,18,43
176,2022,San Bernardino,Active COVID-19,57942,47,38.04255
177,2022,San Bernardino,Active COVID-19,26608,16,64.0625
178,2022,San Diego,Active COVID-19,23959,15,81.6
179,2022,San Diego,Active COVID-19,77303,62,62.67742
180,2022,San Diego,Active COVID-19,87491,113,37.95575
"Showing 1 to 20 of 12,076 entries, 6 total columns",,,,,,
