oshpd_id,FacilityName2,CountyName,system,year,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station
106190323,Adventist Health Glendale,Los Angeles,Adventist Health Systems,2022,500+,Nonprofit,Urban,Non-Teaching,Active COVID-19,37767,39,2248,34.14951000,-118.23109000,No,No,57.64102564
106190352,Greater El Monte Community Hospital,Los Angeles,"AHMC Healthcare, Inc.",2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,20914,,635,34.04827000,-118.04257000,Yes,No,
106190385,Providence Holy Cross Medical Center,Los Angeles,Providence St. Joseph Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,82929,32,2956,34.27910000,-118.45951000,No,No,92.375
106190422,Torrance Memorial Medical Center,Los Angeles,Cedars-Sinai Health System,2022,500+,Nonprofit,Urban,Non-Teaching,Active COVID-19,71601,29,3585,33.81191570,-118.34349450,Yes,No,123.6206897
106190429,Kaiser Foundation Hospital – Los Angeles,Los Angeles,Kaiser Foundation Hospitals,2022,300-499,Nonprofit,Urban,Teaching,Active COVID-19,55882,57,3477,34.09875000,-118.29537100,Yes,No,61
106190431,Kaiser Foundation Hospital – South Bay,Los Angeles,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,59992,52,3467,33.78926000,-118.29373000,Yes,No,66.67307692
106190432,Kaiser Foundation Hospital – Panorama City,Los Angeles,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,62888,41,4248,34.21980000,-118.43103000,No,No,103.6097561
106190434,Kaiser Foundation Hospital – West LA,Los Angeles,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,80860,53,4385,34.03793000,-118.37568000,No,No,82.73584906
106190470,Providence Little Company of Mary Medical Center – Torrance,Los Angeles,Providence St. Joseph Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,40497,29,2155,33.83891000,-118.35677100,No,No,74.31034483
106190500,Cedars – Sinai Marina Del Rey Hospital,Los Angeles,Cedars-Sinai Health System,2022,100-149,Nonprofit,Urban,Non-Teaching,Active COVID-19,32685,18,1313,33.98125000,-118.43971000,No,No,72.94444444
106190517,Providence Cedars – Sinai Tarzana Medical Center,Los Angeles,Providence St. Joseph Health,2022,200-299,Investor Owned,Urban,Non-Teaching,Active COVID-19,40962,15,2034,34.17067000,-118.53200100,No,No,135.6
106190521,Memorial Hospital of Gardena,Los Angeles,Avanti Hospitals,2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,29497,10,389,33.89246000,-118.29493000,Yes,No,38.9
106190525,MemorialCare Long Beach Medical Center,Los Angeles,MemorialCare,2022,300-499,Nonprofit,Urban,Teaching,Active COVID-19,72326,64,4344,33.80801000,-118.18520000,No,No,67.875
